Council,Region,Spent Per Day 2022-23,Spent Per Year 2022-23,Number of Venues,Number of Pokies
Alpine ,Regional,7601.13,2774411.51,2,58
Ararat ,Regional,17110.96,6245500.42,2,88
Ballarat ,Regional,176330.87,64360765.84,14,651
Banyule ,Metro,156629.97,57169938.57,9,634
Bass Coast ,Regional,54097.92,19745740.01,5,213
Baw Baw ,Regional,54361.04,19841779.19,4,238
Bayside ,Metro,38044.8,13886353.15,5,204
Benalla ,Regional,18750.78,6844034.1,3,105
Boroondara ,Metro,51498.66,18797009.46,4,162
Brimbank ,Metro,473687.38,172895893.57,15,953
Buloke ,Regional,0.0,0.0,0,0
Campaspe ,Regional,29356.38,10715080.17,4,209
Cardinia ,Metro,96004.54,35041656.68,6,405
Casey ,Metro,436274.97,159240363.25,13,913
Central Goldfields ,Regional,23384.63,8535391.56,2,99
Colac-Otway ,Regional,21620.45,7891465.21,5,110
Corangamite ,Regional,8579.29,3131439.24,2,56
Darebin ,Metro,235170.16,85837107.13,12,744
East Gippsland ,Regional,83810.25,30590741.45,10,331
Frankston ,Metro,185392.26,67668174.45,9,519
Gannawarra ,Regional,6350.54,2317948.19,1,45
Glen Eira ,Metro,193148.7,70499276.13,9,652
Glenelg ,Regional,23675.77,8641654.54,4,120
Golden Plains ,Regional,0.0,0.0,0,0
Greater Bendigo ,Regional,161866.59,59081305.95,11,662
Greater Dandenong ,Metro,376432.49,137397858.69,14,928
Greater Geelong City*,Regional,367486.11,134132429.85,25,1338
Greater Shepparton ,Regional,117064.82,42728660.05,8,329
Hepburn ,Regional,9511.59,3471730.59,2,57
Hindmarsh ,Regional,0.0,0.0,0,0
Hobsons Bay ,Metro,131370.93,47950388.97,9,535
Horsham Rural ,Regional,31958.78,11664955.06,3,153
Hume ,Metro,380906.44,139030851.81,14,833
Indigo ,Regional,0.0,0.0,0,0
Kingston ,Metro,235630.66,86005189.19,16,918
Knox ,Metro,214527.39,78302496.93,11,767
Latrobe ,Regional,136833.31,49944157.13,13,522
Loddon ,Regional,0.0,0.0,0,0
Macedon Ranges ,Regional,24903.37,9089731.04,3,103
Manningham ,Metro,165365.34,60358350.8,6,460
Mansfield ,Regional,4783.22,1745873.88,1,40
Maribyrnong ,Metro,181149.31,66119496.54,9,468
Maroondah ,Metro,170640.46,62283768.15,8,640
Melbourne ,Metro,236507.88,86325377.17,9,695
Melton ,Metro,237651.23,86742697.92,7,523
Mildura Rural ,Regional,105431.64,38482548.47,8,281
Mitchell ,Regional,56853.97,20751700.44,4,224
Moira ,Regional,15421.27,5628762.52,2,103
Monash ,Metro,335618.69,122500822.52,15,955
Moonee Valley ,Metro,233418.15,85197625.77,11,746
Moorabool ,Regional,30239.31,11037347.54,3,110
Moreland City (Meri-bek) ,Metro,170036.86,62063452.72,12,639
Mornington Peninsula ,Metro,247518.0,90344068.26,17,825
Mount Alexander ,Regional,8366.05,3053609.45,1,30
Moyne ,Regional,0.0,0.0,0,0
Murrindindi ,Regional,4862.7,1774883.9,1,25
Nillumbik ,Metro,26303.68,9600842.33,2,90
Northern Grampians ,Regional,13282.66,4848169.46,2,80
Port Phillip ,Metro,78067.5,28494636.09,10,377
Pyrenees ,Regional,0.0,0.0,0,0
Queenscliffe ,Regional,4011.52,1464203.2,1,30
South Gippsland ,Regional,19463.26,7104088.6,4,105
Southern Grampians ,Regional,19148.52,6989210.57,2,75
Stonnington ,Metro,55690.73,20327117.51,5,199
Strathbogie ,Regional,5599.12,2043679.77,1,32
Surf Coast ,Regional,11299.19,4124204.85,3,89
Swan Hill ,Regional,27859.71,10168792.5,4,159
Towong ,Regional,842.84,307634.83,1,10
Wangaratta ,Regional,29792.3,10874190.79,4,154
Warrnambool ,Regional,63580.28,23206800.96,8,234
Wellington ,Regional,71052.39,25934121.44,7,318
West Wimmera ,Regional,0.0,0.0,0,0
Whitehorse ,Metro,153738.5,56114551.28,6,431
Whittlesea ,Metro,377660.35,137846028.25,10,690
Wodonga,Regional,29394.33,10728931.74,3,150
Wyndham ,Metro,342201.73,124903632.06,13,903
Yarra ,Metro,83318.23,30411152.37,7,288
Yarra Ranges ,Metro,82989.08,30291015.59,9,452
Yarriambiack ,Regional,0.0,0.0,0,0
Victoria,,8278533.888547947,3021664869.3200006,485,26284
